wavenumber (/cm),upper baseline (/cm) (smaller area),main baseline (/cm),lower baseline (/cm) (larger area),absorbance - upper baseline (/cm),absorbance - main baseline (/cm),absorbance - lower baseline (/cm),
3.198469999999999800e+03,6.249999999987210231e-03,6.249999999969446662e-03,6.249999999980104803e-03,1.287858708565181587e-14,3.064215547965432052e-14,1.998401444325281773e-14
3.202289999999999964e+03,4.033246511031762793e-03,3.437427859552144582e-03,2.841609208097395367e-03,8.466753488968414842e-03,9.062572140448033053e-03,9.658390791902782269e-03
3.206110000000000127e+03,1.888628774114664566e-03,7.066095714520770343e-04,-4.754096311856415014e-04,1.061137122588551307e-02,1.179339042854810060e-02,1.297540963118581914e-02
3.209920000000000073e+03,-1.785220365988493540e-04,-1.935626868210249540e-03,-3.692731699800333445e-03,6.428522036598938172e-03,8.185626868210338358e-03,9.942731699800422263e-03
3.213739999999999782e+03,-2.179057106463488935e-03,-4.503151466991539564e-03,-6.827245827494721198e-03,1.467905710646366657e-02,1.700315146699171720e-02,1.932724582749489883e-02
3.217559999999999945e+03,-4.107456424286226593e-03,-6.988922213448489629e-03,-9.870388002596541810e-03,1.660745642428640423e-02,1.948892221344866726e-02,2.237038800259671945e-02
3.221369999999999891e+03,-5.958954832706808702e-03,-9.386752597187353331e-03,-1.281455036163947625e-02,1.845895483270698634e-02,2.188675259718753097e-02,2.531455036163965389e-02
3.225190000000000055e+03,-7.743271483484193141e-03,-1.170922965433263130e-02,-1.567518782515264775e-02,7.743271483484193141e-03,1.170922965433263130e-02,1.567518782515264775e-02
3.229010000000000218e+03,-9.455452382216122942e-03,-1.394995285915356931e-02,-1.844445333606614668e-02,1.570545238221621176e-02,2.019995285915365812e-02,2.469445333606623549e-02
3.232820000000000164e+03,-1.109129838834377324e-02,-1.610337718696186471e-02,-2.111545598555153447e-02,1.734129838834386206e-02,2.235337718696195353e-02,2.736545598555162329e-02
3.236639999999999873e+03,-1.265939662003034982e-02,-1.818080670246757791e-02,-2.370221678487638428e-02,1.265939662003034982e-02,1.818080670246757791e-02,2.370221678487638428e-02
3.240460000000000036e+03,-1.415535909966436634e-02,-2.017648236565250386e-02,-2.619760563160866695e-02,2.665535909966454398e-02,3.267648236565268149e-02,3.869760563160884459e-02
3.244269999999999982e+03,-1.557555270351329568e-02,-2.208550063753378367e-02,-2.859544857152229724e-02,1.557555270351329568e-02,2.208550063753378367e-02,2.859544857152229724e-02
3.248090000000000146e+03,-1.692743251610551170e-02,-2.391788261139993210e-02,-3.090833270667303623e-02,1.692743251610551170e-02,2.391788261139993210e-02,3.090833270667303623e-02
3.251909999999999854e+03,-1.820717657664872036e-02,-2.566851073294529328e-02,-3.312984488921699722e-02,1.820717657664872036e-02,2.566851073294529328e-02,3.312984488921699722e-02
3.255730000000000018e+03,-1.941478488514647438e-02,-2.733738500217341993e-02,-3.525998511918260192e-02,1.941478488514647438e-02,2.733738500217341993e-02,3.525998511918260192e-02
3.259539999999999964e+03,-2.054737917170257333e-02,-2.892045738112969389e-02,-3.729353559052839273e-02,2.054737917170257333e-02,2.892045738112969389e-02,3.729353559052839273e-02
3.263360000000000127e+03,-2.161090481315497414e-02,-3.042603796103904301e-02,-3.924117110889824289e-02,2.161090481315497414e-02,3.042603796103904301e-02,3.924117110889824289e-02
3.267179999999999836e+03,-2.260229470255836759e-02,-3.184986468862760489e-02,-4.109743467467552591e-02,2.260229470255836759e-02,3.184986468862760489e-02,4.109743467467552591e-02
3.270989999999999782e+03,-2.351923658682864016e-02,-3.318853101165686326e-02,-4.285782543645666465e-02,2.351923658682864016e-02,3.318853101165686326e-02,4.285782543645666465e-02
3.274809999999999945e+03,-2.436654380919023311e-02,-3.444906404993020033e-02,-4.453158429063819312e-02,2.436654380919023311e-02,3.444906404993020033e-02,4.453158429063819312e-02
3.278630000000000109e+03,-2.514171527949926599e-02,-3.562784323587564472e-02,-4.611397119222715446e-02,2.514171527949926599e-02,3.562784323587564472e-02,4.611397119222715446e-02
3.282440000000000055e+03,-2.584300476148015946e-02,-3.672210350298144022e-02,-4.760120224445074655e-02,2.584300476148015946e-02,3.672210350298144022e-02,4.760120224445074655e-02
3.286260000000000218e+03,-2.647409356475094455e-02,-3.773758899961521251e-02,-4.900108443445105877e-02,2.647409356475094455e-02,3.773758899961521251e-02,4.900108443445105877e-02
3.290079999999999927e+03,-2.703304661596916958e-02,-3.867132064392464486e-02,-5.030959467185880385e-02,2.703304661596916958e-02,3.867132064392464486e-02,5.030959467185880385e-02
3.293889999999999873e+03,-2.751868369566423667e-02,-3.952117485509987205e-02,-5.152366601451063843e-02,2.751868369566423667e-02,3.952117485509987205e-02,5.152366601451063843e-02
3.297710000000000036e+03,-2.793355407983355576e-02,-4.029161281009763229e-02,-5.264967154032262897e-02,2.793355407983355576e-02,4.029161281009763229e-02,5.264967154032262897e-02
3.301530000000000200e+03,-2.827628871196097293e-02,-4.098029691277105258e-02,-5.368430511355626322e-02,2.827628871196097293e-02,4.098029691277105258e-02,5.368430511355626322e-02
3.305340000000000146e+03,-2.854627338937021364e-02,-4.158574506801571147e-02,-5.462521674664344573e-02,2.854627338937021364e-02,4.158574506801571147e-02,5.462521674664344573e-02
3.309159999999999854e+03,-2.874492535444872487e-02,-4.211113548137390694e-02,-5.547734560827422001e-02,4.124492535444890251e-02,5.461113548137408458e-02,6.797734560827439765e-02
3.312980000000000018e+03,-2.887144156748533419e-02,-4.255477204240776246e-02,-5.623810251731242715e-02,4.137144156748551183e-02,5.505477204240794009e-02,6.873810251731260479e-02
