wavenumber (/cm),baseline value (/cm),baseline-subtracted absorbance (/cm),
3.100199951000000056e+03,6.789994199999989100e-01,-4.440892098500626162e-16
3.100300048999999944e+03,6.790980657957681466e-01,1.901684204231646191e-03
3.100399902000000111e+03,6.791964701459551890e-01,3.803619854043205351e-03
3.100500000000000000e+03,6.792951159417248697e-01,4.703944058274789342e-03
3.100600097999999889e+03,6.793937617374945503e-01,6.605628262506435533e-03
3.100699951000000056e+03,6.794921660876811487e-01,8.507553912317611378e-03
3.100800048999999944e+03,6.795908118834508294e-01,1.040924811655008497e-02
3.100899902000000111e+03,6.796892162336378718e-01,1.230998376636183167e-02
3.101000000000000000e+03,6.797878620294071084e-01,1.421166797059214559e-02
3.101100097999999889e+03,6.798865078251767891e-01,1.611335217482379178e-02
3.101199951000000056e+03,6.799849121753638315e-01,1.701511782463605016e-02
3.101300048999999944e+03,6.800835579711330681e-01,1.891561202886560267e-02
3.101399902000000111e+03,6.801819623213201105e-01,2.081753767867811078e-02
3.101500000000000000e+03,6.802806081170897912e-01,2.271922188290975697e-02
3.101600097999999889e+03,6.803792539128594719e-01,2.461971608713886539e-02
3.101699951000000056e+03,6.804776582630460702e-01,2.652164173695359395e-02
3.101800048999999944e+03,6.805763040588157509e-01,2.842332594118524014e-02
3.101899902000000111e+03,6.806747084090027933e-01,2.932509159099749851e-02
3.102000000000000000e+03,6.807733542047720299e-01,3.122558579522705102e-02
3.102100097999999889e+03,6.808720000005417106e-01,3.312726999945692086e-02
3.102199951000000056e+03,6.809704043507287530e-01,3.502919564927120533e-02
3.102300048999999944e+03,6.810690501464979896e-01,3.693087985350151925e-02
3.102399902000000111e+03,6.811674544966850320e-01,3.883161550331326595e-02
3.102500000000000000e+03,6.812661002924547127e-01,4.073330970754573954e-02
3.102600097999999889e+03,6.813647460882239493e-01,4.163482391177675268e-02
3.102699951000000056e+03,6.814631504384109917e-01,4.353674956158926079e-02
3.102800048999999944e+03,6.815617962341806724e-01,4.543724376582014557e-02
3.102899902000000111e+03,6.816602005843672707e-01,4.733917941563214882e-02
3.103000000000000000e+03,6.817588463801369514e-01,4.924086361986379501e-02
3.103100097999999889e+03,6.818574921759066321e-01,5.114254782409366484e-02
3.103199951000000056e+03,6.819558965260936745e-01,5.304328347390541154e-02
3.103300048999999944e+03,6.820545423218629111e-01,5.394479767813820104e-02
3.103399902000000111e+03,6.821529466720499535e-01,5.584673332794976019e-02
3.103500000000000000e+03,6.822515924678196342e-01,5.774841753217963003e-02
3.103600097999999889e+03,6.823502382635888708e-01,5.964891173640918254e-02
3.103699951000000056e+03,6.824486426137759132e-01,6.155083738622346701e-02
3.103800048999999944e+03,6.825472884095455939e-01,6.345252159045333684e-02
3.103899902000000111e+03,6.826456927597321922e-01,6.435428724026781566e-02
3.104000000000000000e+03,6.827443385555018729e-01,6.625478144449870044e-02
3.104100097999999889e+03,6.828429843512715536e-01,6.815646564873034663e-02
3.104199951000000056e+03,6.829413887014581519e-01,7.005839129853974612e-02
3.104300048999999944e+03,6.830400344972278326e-01,7.196007550277139231e-02
3.104399902000000111e+03,6.831384388474148750e-01,7.386081115258491536e-02
3.104500000000000000e+03,6.832370846431845557e-01,7.576249535681478520e-02
3.104600097999999889e+03,6.833357304389537923e-01,7.666401956104484938e-02
3.104699951000000056e+03,6.834341347891408347e-01,7.856594521085913385e-02
3.104800048999999944e+03,6.835327805849105154e-01,8.046643941509001863e-02
3.104899902000000111e+03,6.836311849350971137e-01,8.236836506490297083e-02
3.105000000000000000e+03,6.837298307308667944e-01,8.427005926913189171e-02
3.105100097999999889e+03,6.838284765266364751e-01,8.617055347336277649e-02
3.105199951000000056e+03,6.839268808768230734e-01,8.807247912317750504e-02
3.105300048999999944e+03,6.840255266725927541e-01,8.897399332740629774e-02
3.105399902000000111e+03,6.841239310227797965e-01,9.087592897721963325e-02
3.105500000000000000e+03,6.842225768185494772e-01,9.277642318145051803e-02
3.105600097999999889e+03,6.843212226143187138e-01,9.467810738568083195e-02
3.105699951000000056e+03,6.844196269645057562e-01,9.658003303549334007e-02
3.105800048999999944e+03,6.845182727602754369e-01,9.848171723972320990e-02
3.105899902000000111e+03,6.846166771104620352e-01,1.003824528895371770e-01
3.106000000000000000e+03,6.847153229062317159e-01,1.012839770937685735e-01
3.106100097999999889e+03,6.848139687020013966e-01,1.031856612979984433e-01
3.106199951000000056e+03,6.849123730521879949e-01,1.050875869478131719e-01
3.106300048999999944e+03,6.850110188479576756e-01,1.069880811520440567e-01
3.106399902000000111e+03,6.851094231981447180e-01,1.088900068018530121e-01
3.106500000000000000e+03,6.852080689939139546e-01,1.107916910060851023e-01
3.106600097999999889e+03,6.853067147896836353e-01,1.126933852103157996e-01
3.106699951000000056e+03,6.854051191398706777e-01,1.135939508601300219e-01
3.106800048999999944e+03,6.855037649356403584e-01,1.154956350643581153e-01
3.106899902000000111e+03,6.856021692858269567e-01,1.173975607141728439e-01
3.107000000000000000e+03,6.857008150815966374e-01,1.192992549184017648e-01
3.107100097999999889e+03,6.857994608773663181e-01,1.211997491226326495e-01
3.107199951000000056e+03,6.858978652275529164e-01,1.231016747724456017e-01
3.107300048999999944e+03,6.859965110233225971e-01,1.240031889766761708e-01
3.107399902000000111e+03,6.860949153735096395e-01,1.259051146264904553e-01
3.107500000000000000e+03,6.861935611692788761e-01,1.278056088307200078e-01
3.107600097999999889e+03,6.862922069650485568e-01,1.297073030349507050e-01
3.107699951000000056e+03,6.863906113152355992e-01,1.316092286847632131e-01
