Kunlun diopside,,,,,,relative polarization
Bulk water,27.1+/-0.7,ppm H2O
peak position (cm-1),width (cm-1),height (cm-1),area (cm-2),% bulk water,water (ppm H2O),alpha,beta,gamma
3645.0,25.100000000000001,0.47999999999999998,25.68703317579709,13.817576644875951,3.74+/-0.10,0.49364651520985758,0.34000770119368506,0.16634578359645746
3617.0,60.0,0.34999999999999998,56.293273867009525,30.28129488232576,8.20+/-0.21,0.39341665199788772,0.23323358563633162,0.37334976236578066
3540.0,70.0,0.16,38.837980408840316,20.891738152811765,5.66+/-0.15,0.30674215131240351,0.17730313947503859,0.51595470921255793
3443.0,100.0,0.10000000000000001,38.082899037396736,20.48556455340713,5.55+/-0.15,0.27507755946225443,0.083247156153050672,0.6416752843846949
3355.0,120.0,0.070000000000000007,26.999958378661891,14.523825766579385,3.93+/-0.10,0.32216216216216215,0.17189189189189188,0.50594594594594589
Jaipur diopside
Bulk water,53.4+/-1.4,ppm H2O
3675.0,10.0,0.48999999999999999,11.208133593102305,3.240187944681943,1.73+/-0.05,0.46228926353149957,0.075421472937000883,0.46228926353149957
3660.0,10.0,0.14999999999999999,8.4567968914531786,2.444796995922121,1.305+/-0.034,0.18823529411764706,0.62352941176470589,0.18823529411764706
3645.0,13.0,0.10000000000000001,8.3003630807674345,2.3995731463566101,1.281+/-0.034,0.16526946107784429,0.66946107784431141,0.16526946107784429
3617.0,65.0,0.16,36.756333937806325,10.625982383835844,5.67+/-0.15,0.2992700729927007,0.3454987834549878,0.35523114355231145
3540.0,70.0,0.25,67.591389754766013,19.540167364035842,10.43+/-0.27,0.2737027781860944,0.37586358959282667,0.35043363222107893
3460.0,70.0,0.37,89.044391862505123,25.742070493519542,13.7+/-0.4,0.30752064271367996,0.27683552778397674,0.41564382950234319
3355.0,90.0,0.44,124.55257463526405,36.007221671648118,19.2+/-0.5,0.33615188257817485,0.29714422463305679,0.36670389278876836
augite PMR-53
Bulk water,278.3+/-7.4,ppm H2O
3620.0,66.969999999999999,3.6800000000000002,627.87816108731863,36.473627245206771,101.5+/-2.7,0.41333121726710043,0.52093318520869702,0.065735597524202508
3550.0,75.900000000000006,1.49,304.70812622582878,17.700584768389007,49.3+/-1.3,0.39228736419692667,0.26123128119800332,0.34648135460507001
3460.0,82.75,1.1000000000000001,542.49878124882821,31.51391393193715,87.7+/-2.3,0.17805761979719587,0.33186294249002452,0.49007943771277956
3355.0,130.56,0.29999999999999999,246.37289575341075,14.311874054467067,39.8+/-1.1,0.16800257783864342,0.26201313086558992,0.56998429129576667
