Kunlun diopside,,,,,,relative polarization,,
Bulk water,27.1+/-2.9,ppm H2O,,,,,,
peak position (cm-1),width (cm-1),height (cm-1),area (cm-2),% bulk water,water (ppm H2O),alpha,beta,gamma
3645,25.1,0.48,25.69,13.82,3.7+/-0.4,0.49,0.34,0.17
3617,60,0.35,56.29,30.28,8.2+/-0.9,0.39,0.23,0.37
3540,70,0.16,38.84,20.89,5.7+/-0.6,0.31,0.18,0.52
3443,100,0.1,38.08,20.49,5.5+/-0.6,0.28,0.08,0.64
3355,120,0.07,27.00,14.52,3.9+/-0.4,0.32,0.17,0.51
Jaipur diopside,,,,,,,,
Bulk water,53.4+/-7.9,ppm H2O,,,,,,
3675,10,0.49,11.21,3.24,1.73+/-0.26,0.46,0.08,0.46
3660,10,0.15,8.46,2.44,1.31+/-0.19,0.19,0.62,0.19
3645,13,0.1,8.30,2.40,1.28+/-0.19,0.17,0.67,0.17
3617,65,0.16,36.76,10.63,5.7+/-0.8,0.30,0.35,0.36
3540,70,0.25,67.59,19.54,10.4+/-1.6,0.27,0.38,0.35
3460,70,0.37,89.04,25.74,13.7+/-2.0,0.31,0.28,0.42
3355,90,0.44,124.55,36.01,19.2+/-2.9,0.34,0.30,0.37
augite PMR-53,,,,,,,,
Bulk water,(2.8+/-0.5)e+02,ppm H2O,,,,,,
3620,66.97,3.68,627.88,36.47,101.5+/-17.6,0.41,0.52,0.07
3550,75.9,1.49,304.71,17.70,49.3+/-8.6,0.39,0.26,0.35
3460,82.75,1.1,542.50,31.51,87.7+/-15.2,0.18,0.33,0.49
3355,130.56,0.3,246.37,14.31,39.8+/-6.9,0.17,0.26,0.57
