3645, 0.01,18.14, 0.28
3617, 0.01,53.98, 0.86
3540, 0.05,57.66, 3.09
3460, 0.08,68.72, 5.77
3443, 0.12,28.56, 3.64
3355, 0.06,84.66, 4.98
